,Game,Genre
0,The Elder Scrolls: Arena,Role-Playing Game
1,The Elder Scrolls II: Daggerfall,Role-Playing Game
2,The Elder Scrolls III: Morrowind,Role-Playing Game
3,The Elder Scrolls IV: Oblivion,Role-Playing Game
4,Fallout 3,Role-Playing Game
5,The Elder Scrolls V: Skyrim,Role-Playing Game
6,Fallout 4,Role-Playing Game
7,Fallout 76,"Role-Playing Game, Multiplayer"
8,The Elder Scrolls VI (TBA),Role-Playing Game
