,date,users
0,2023-03-30,236762116
1,2023-02-28,229866132
2,2023-01-30,252600145
3,2022-12-30,251656507
4,2022-11-30,250144756
5,2022-10-30,251025598
6,2022-09-30,253565010
7,2022-08-30,257404123
8,2022-07-30,255014413
9,2022-06-30,264501166
10,2022-05-30,269155466
11,2022-04-30,268051143
12,2022-03-30,271011546
13,2022-02-20,269057706
14,2022-01-30,272710226
15,2021-12-30,275066417
16,2021-11-30,277050146
17,2021-10-30,279665014
18,2021-09-30,276602214
19,2021-08-30,279855016
20,2021-07-30,283665016
21,2021-06-30,281662014
22,2021-05-30,290144760
23,2021-04-30,285011465
24,2021-03-30,278014467
25,2021-02-20,263221429
26,2021-01-30,236501146
27,2020-12-30,221014554
28,2020-11-30,210221406
29,2020-10-30,264884164
30,2020-09-30,267531902
31,2020-08-30,292866255
32,2020-07-30,281575625
33,2020-06-30,265228866
34,2020-05-30,28168830
35,2020-05-30,257212500
36,2020-04-30,270750000
37,2020-03-30,285000000
38,2020-02-20,276480000
39,2020-01-30,259920000
40,2019-12-30,221616000
41,2019-11-30,208417536
42,2019-10-30,163675728
43,2019-09-30,173785111
44,2019-08-30,165095856
45,2019-07-30,147091718
46,2019-06-30,193457586
