,Name,Year_of_Release,Global_Sales
9,Halo: Combat Evolved,2001.0,6.43
0,Halo 2,2004.0,8.49
3,Halo 3,2007.0,12.12
4,Halo 3: ODST,2009.0,6.34
12,Halo: Reach,2010.0,9.86
5,Halo 4,2012.0,9.71
6,Halo 5: Guardians,2015.0,4.48
