,Name,Year_of_Release,Global_Sales
6,Fallout: Brotherhood of Steel,2004.0,0.12000000000000001
0,Fallout 3,2008.0,9.85
7,Fallout: New Vegas,2010.0,8.33
3,Fallout 4,2015.0,12.67
