,Name,Year_of_Release,Global_Sales
0,The Witcher,2007.0,0.06
4,The Witcher: Enhanced Edition,2008.0,0.32
1,The Witcher 2: Assassins of Kings,2011.0,0.96
2,The Witcher 2: Assassins of Kings,2012.0,0.9
3,The Witcher 3: Wild Hunt,2015.0,6.0
