,Game,Genre
0,The Witcher,"Action-Adventure, RPG"
1,The Witcher 2: Assassins of Kings,"Action-Adventure, RPG"
2,The Witcher 3: Wild Hunt,"Action-Adventure, RPG"
3,Gwent: The Witcher Card Game,Card Game
4,Thronebreaker: The Witcher Tales,"Card Game, RPG"
5,Cyberpunk 2077,"Action-Adventure, RPG"
